flux,experiment,MAE,MBE,nSD,R,5th,95th,RMSE,cRMSE,AMBE,1-nSD,1-R,nSkewness,nKurtosis,Overlap,site,model
LWup,baseline,8.61842,1.66666,1.22414,0.975245,5.10999,26.0575,12.7386,0.332934,1.66666,0.224138,0.0247552,0.407875,0.858975,0.0828661,UK-KingsCollege,CLMU5
LWup,detailed,8.61842,1.66666,1.22414,0.975245,5.10999,26.0575,12.7386,0.332934,1.66666,0.224138,0.0247552,0.407875,0.858975,0.0828661,UK-KingsCollege,CLMU5
Qle,baseline,16.7392,2.96942,1.28084,0.479835,7.675,12.9882,25.7797,1.18801,2.96942,0.280844,0.520165,1.29557,2.09169,0.174062,UK-KingsCollege,CLMU5
Qle,detailed,16.7392,2.96942,1.28084,0.479835,7.675,12.9882,25.7797,1.18801,2.96942,0.280844,0.520165,1.29557,2.09169,0.174062,UK-KingsCollege,CLMU5
Qh,baseline,53.3082,-43.9304,1.12779,0.804799,33.311,2.16447,62.3862,0.675738,43.9304,0.127785,0.195201,0.362693,0.433017,0.512367,UK-KingsCollege,CLMU5
Qh,detailed,53.3082,-43.9304,1.12779,0.804799,33.311,2.16447,62.3862,0.675738,43.9304,0.127785,0.195201,0.362693,0.433017,0.512367,UK-KingsCollege,CLMU5
Qtau,baseline,0.155355,-0.148563,0.590534,0.732551,0.0331764,0.309159,0.212972,0.695369,0.148563,0.409467,0.267449,0.0354763,0.205078,0.332443,UK-KingsCollege,CLMU5
Qtau,detailed,0.155355,-0.148563,0.590534,0.732551,0.0331764,0.309159,0.212972,0.695369,0.148563,0.409467,0.267449,0.0354763,0.205078,0.332443,UK-KingsCollege,CLMU5
SWup,baseline,2.58372,1.30219,1.01029,0.992356,0.795545,0.0348643,3.95373,0.124702,1.30219,0.010294,0.00764357,0.153372,0.781315,0.0840346,UK-Swindon,CLMU5
SWup,detailed,2.58372,1.30219,1.01029,0.992356,0.795545,0.0348643,3.95373,0.124702,1.30219,0.010294,0.00764357,0.153372,0.781315,0.0840346,UK-Swindon,CLMU5
LWup,baseline,6.73728,4.77963,1.17425,0.975895,1.97278,23.6337,11.278,0.294912,4.77963,0.17425,0.0241047,0.994573,6.74022,0.0661546,UK-Swindon,CLMU5
LWup,detailed,6.73728,4.77963,1.17425,0.975895,1.97278,23.6337,11.278,0.294912,4.77963,0.17425,0.0241047,0.994573,6.74022,0.0661546,UK-Swindon,CLMU5
Qle,baseline,15.4041,7.8424,1.02799,0.869932,6.28066,12.9458,22.3186,0.517881,7.8424,0.0279912,0.130068,0.00348027,0.0514249,0.224296,UK-Swindon,CLMU5
Qle,detailed,15.4041,7.8424,1.02799,0.869932,6.28066,12.9458,22.3186,0.517881,7.8424,0.0279912,0.130068,0.00348027,0.0514249,0.224296,UK-Swindon,CLMU5
Qh,baseline,14.711,8.57739,1.00301,0.953147,12.6112,11.271,20.5926,0.306588,8.57739,0.00300748,0.0468526,0.0227297,0.174405,0.104797,UK-Swindon,CLMU5
Qh,detailed,14.711,8.57739,1.00301,0.953147,12.6112,11.271,20.5926,0.306588,8.57739,0.00300748,0.0468526,0.0227297,0.174405,0.104797,UK-Swindon,CLMU5
Qtau,baseline,0.0843725,-0.0168707,0.879286,0.801562,0.00840175,0.104242,0.156854,0.602942,0.0168707,0.120716,0.198438,0.299577,2.22333,0.0730072,UK-Swindon,CLMU5
Qtau,detailed,0.0843725,-0.0168707,0.879286,0.801562,0.00840175,0.104242,0.156854,0.602942,0.0168707,0.120716,0.198438,0.299577,2.22333,0.0730072,UK-Swindon,CLMU5
SWup,baseline,15.1139,-14.4151,0.750427,0.948334,0.737162,33.2316,19.1058,0.373937,14.4151,0.249573,0.0516656,1.55814,7.53013,0.199397,US-Baltimore,CLMU5
SWup,detailed,15.1139,-14.4151,0.750427,0.948334,0.737162,33.2316,19.1058,0.373937,14.4151,0.249573,0.0516656,1.55814,7.53013,0.199397,US-Baltimore,CLMU5
LWup,baseline,9.50008,3.87243,1.12304,0.977428,1.36175,29.7978,14.6993,0.256587,3.87243,0.123036,0.0225721,7.55098,0.467658,0.0671496,US-Baltimore,CLMU5
LWup,detailed,9.50008,3.87243,1.12304,0.977428,1.36175,29.7978,14.6993,0.256587,3.87243,0.123036,0.0225721,7.55098,0.467658,0.0671496,US-Baltimore,CLMU5
Qle,baseline,39.1822,18.6436,0.918287,0.740462,14.541,5.05491,53.6357,0.695225,18.6436,0.081713,0.259538,0.0336763,0.013142,0.291623,US-Baltimore,CLMU5
Qle,detailed,39.1822,18.6436,0.918287,0.740462,14.541,5.05491,53.6357,0.695225,18.6436,0.081713,0.259538,0.0336763,0.013142,0.291623,US-Baltimore,CLMU5
Qh,baseline,40.2588,-2.31754,0.690738,0.774188,5.86923,76.2846,56.6621,0.638433,2.31754,0.309263,0.225812,0.352358,0.389218,0.27593,US-Baltimore,CLMU5
Qh,detailed,40.2588,-2.31754,0.690738,0.774188,5.86923,76.2846,56.6621,0.638433,2.31754,0.309263,0.225812,0.352358,0.389218,0.27593,US-Baltimore,CLMU5
SoilTemp,baseline,2.83815,-2.03225,1.02447,0.95422,1.84387,1.22867,3.51951,0.307245,2.03225,0.0244691,0.04578,0.401212,0.0625249,0.138777,US-Baltimore,CLMU5
SoilTemp,detailed,2.83815,-2.03225,1.02447,0.95422,1.84387,1.22867,3.51951,0.307245,2.03225,0.0244691,0.04578,0.401212,0.0625249,0.138777,US-Baltimore,CLMU5
Qtau,baseline,0.117918,0.00535229,0.773287,0.844396,0.0248094,0.14165,0.163888,0.540418,0.00535229,0.226714,0.155604,0.0326131,0.112573,0.218629,US-Baltimore,CLMU5
Qtau,detailed,0.117918,0.00535229,0.773287,0.844396,0.0248094,0.14165,0.163888,0.540418,0.00535229,0.226714,0.155604,0.0326131,0.112573,0.218629,US-Baltimore,CLMU5
SWup,baseline,64.4628,-64.4525,0.332719,0.904183,1.96882,222.943,94.4872,0.713459,64.4525,0.667281,0.095817,0.112352,0.680814,0.420717,US-Minneapolis1,CLMU5
SWup,detailed,21.1631,-15.4228,0.769223,0.908978,1.17051,98.9124,45.2833,0.439648,15.4228,0.230778,0.0910219,0.373074,0.646003,0.089707,US-Minneapolis1,CLMU5
LWup,baseline,14.7279,13.7249,0.991793,0.988981,16.7908,10.8914,17.425,0.148072,13.7249,0.00820747,0.0110195,0.246302,0.505118,0.113309,US-Minneapolis1,CLMU5
LWup,detailed,10.0418,7.30773,0.976443,0.989332,9.37958,1.10284,12.8778,0.146248,7.30773,0.0235582,0.0106681,0.538126,0.562266,0.0934568,US-Minneapolis1,CLMU5
Qle,baseline,23.5557,11.0763,1.25583,0.822611,3.966,58.448,41.2187,0.714835,11.0763,0.255831,0.177389,0.0715006,0.351702,0.107438,US-Minneapolis1,CLMU5
Qle,detailed,23.4703,12.9463,1.35581,0.844706,3.84479,76.409,43.0947,0.740067,12.9463,0.35581,0.155294,0.13136,0.469134,0.142772,US-Minneapolis1,CLMU5
Qh,baseline,45.949,33.7002,0.836554,0.843548,30.1135,3.68028,56.3214,0.5371,33.7002,0.163447,0.156452,0.238719,0.489625,0.404964,US-Minneapolis1,CLMU5
Qh,detailed,32.4906,-9.14569,0.63636,0.851027,10.6918,80.7541,48.5337,0.567305,9.14569,0.363641,0.148973,0.194259,0.392657,0.205728,US-Minneapolis1,CLMU5
Qg,baseline,,,,,,,,,,,,,,,US-Minneapolis1,CLMU5
Qg,detailed,,,,,,,,,,,,,,,US-Minneapolis1,CLMU5
Qtau,baseline,0.10726,0.0632233,0.91648,0.863274,0.0622183,0.0323672,0.133577,0.507532,0.0632233,0.0835216,0.136726,0.0671058,0.191548,0.233584,US-Minneapolis1,CLMU5
Qtau,detailed,0.150646,-0.145421,0.355258,0.876687,0.00855562,0.438377,0.219546,0.709442,0.145421,0.644743,0.123313,0.0682318,0.278949,0.355405,US-Minneapolis1,CLMU5
SoilTemp,baseline,3.43964,-1.16187,1.18685,0.948274,5.62283,2.12369,4.35023,0.39711,1.16187,0.186859,0.0517264,3.14601,0.245386,0.192537,US-Minneapolis1,CLMU5
SoilTemp,detailed,3.59331,-1.46394,1.15403,0.940939,4.46191,1.70944,4.46978,0.400052,1.46394,0.154038,0.0590609,2.23181,0.193459,0.212329,US-Minneapolis1,CLMU5
SWup,baseline,67.7257,-67.7183,0.313583,0.940176,2.0245,222.585,96.7282,0.713224,67.7183,0.686417,0.0598241,0.241818,0.849948,0.448992,US-Minneapolis2,CLMU5
SWup,detailed,21.1364,-17.081,0.757465,0.914028,1.19139,103.117,45.4405,0.434816,17.081,0.242535,0.0859721,0.350957,0.603907,0.085887,US-Minneapolis2,CLMU5
LWup,baseline,14.4153,11.2721,0.960184,0.982442,15.6046,1.65528,17.6817,0.18789,11.2721,0.0398166,0.0175579,0.702826,0.763827,0.121125,US-Minneapolis2,CLMU5
LWup,detailed,10.4996,5.34936,0.942725,0.984666,9.2484,9.48371,14.0658,0.179423,5.34936,0.0572757,0.0153344,0.896467,0.712561,0.113683,US-Minneapolis2,CLMU5
Qle,baseline,29.1913,6.04602,1.22499,0.856981,5.47798,54.4831,49.1924,0.633256,6.04602,0.224989,0.143019,0.0474056,0.00387656,0.145032,US-Minneapolis2,CLMU5
Qle,detailed,28.8636,9.2823,1.33089,0.882249,0.168338,76.3151,50.9871,0.650322,9.2823,0.330893,0.117751,0.013721,0.152919,0.180323,US-Minneapolis2,CLMU5
Qh,baseline,35.283,15.1508,0.922526,0.723077,3.73815,1.95526,48.0348,0.718984,15.1508,0.0774745,0.276923,0.507389,0.747737,0.257681,US-Minneapolis2,CLMU5
Qh,detailed,29.1504,-10.686,0.724951,0.720172,0.327589,49.2045,45.2663,0.693812,10.686,0.275049,0.279828,0.508699,0.676937,0.122953,US-Minneapolis2,CLMU5
Qg,baseline,,,,,,,,,,,,,,,US-Minneapolis2,CLMU5
Qg,detailed,,,,,,,,,,,,,,,US-Minneapolis2,CLMU5
Qtau,baseline,0.108962,0.0497892,0.819799,0.871047,0.0360892,0.0592116,0.142284,0.493865,0.0497892,0.180201,0.128953,0.186937,0.324733,0.273208,US-Minneapolis2,CLMU5
Qtau,detailed,0.130564,-0.11696,0.397505,0.867784,0.00883632,0.444483,0.218579,0.684188,0.11696,0.602495,0.132216,0.133019,0.293062,0.268468,US-Minneapolis2,CLMU5
SoilTemp,baseline,3.3495,-1.19258,1.17592,0.952,5.07388,2.03796,4.17756,0.379256,1.19258,0.175927,0.0479998,2.10309,0.175393,0.205931,US-Minneapolis2,CLMU5
SoilTemp,detailed,3.59594,-1.62975,1.14836,0.943278,4.75299,1.39203,4.43027,0.390235,1.62975,0.148364,0.056722,2.22853,0.168061,0.212972,US-Minneapolis2,CLMU5
SWup,baseline,35.6231,-35.6231,0.572339,0.995305,4.17595,72.6844,42.0278,0.433899,35.6231,0.427662,0.00469462,1.17852,0.0246503,0.15807,US-WestPhoenix,CLMU5
SWup,detailed,4.37316,-3.27767,0.994977,0.995401,2.82104,3.23685,5.915,0.0958003,3.27767,0.00502361,0.00459933,0.0737112,0.00258093,0.082997,US-WestPhoenix,CLMU5
LWup,baseline,14.1017,13.9432,1.12873,0.991996,7.29111,43.0648,20.1,0.186122,13.9432,0.128734,0.00800432,0.576117,0.665974,0.0609646,US-WestPhoenix,CLMU5
LWup,detailed,11.2651,11.0264,1.03666,0.995906,10.655,21.174,13.4564,0.0991603,11.0264,0.0366571,0.00409447,0.325667,0.392326,0.0704366,US-WestPhoenix,CLMU5
Qle,baseline,18.4025,-13.069,0.644307,0.329965,3.81077,36.1092,30.0394,0.994954,13.069,0.355693,0.670035,1.36128,2.59111,0.607453,US-WestPhoenix,CLMU5
Qle,detailed,18.2425,-12.9349,0.631121,0.336005,3.81077,35.5209,29.7867,0.987012,12.9349,0.368878,0.663995,1.2542,2.2436,0.646824,US-WestPhoenix,CLMU5
Qh,baseline,35.3292,29.7696,1.34531,0.954156,5.75613,103.81,53.825,0.492533,29.7696,0.345315,0.0458436,0.0387283,0.24172,0.196469,US-WestPhoenix,CLMU5
Qh,detailed,26.4959,16.6751,1.04182,0.941305,11.6427,32.0173,36.1431,0.352203,16.6751,0.0418213,0.0586945,0.0174452,0.0907461,0.316618,US-WestPhoenix,CLMU5
Qtau,baseline,0.0565338,0.0334473,1.27126,0.846391,0.00296141,0.0926423,0.081898,0.681275,0.0334473,0.271261,0.153609,0.153812,0.345172,0.182874,US-WestPhoenix,CLMU5
Qtau,detailed,0.0421441,-0.0167143,0.713071,0.836199,0.00318753,0.080365,0.0639018,0.562078,0.0167143,0.28693,0.163801,0.156753,0.358393,0.217981,US-WestPhoenix,CLMU5
SoilTemp,baseline,2.45135,0.548321,0.952042,0.974086,2.37531,1.2218,3.05175,0.227251,0.548321,0.0479578,0.0259143,3.99704,0.398274,0.0850462,US-WestPhoenix,CLMU5
SoilTemp,detailed,2.25351,0.523307,0.927198,0.98011,2.49359,0.0227951,2.76326,0.205388,0.523307,0.072802,0.01989,2.47923,0.293766,0.0768475,US-WestPhoenix,CLMU5
SWup,baseline,10.0663,9.71904,1.203,0.996569,0.344674,30.0731,14.2067,0.222399,9.71904,0.202997,0.00343053,0.0442126,0.0788125,0.0836262,AU-Preston,NOAH-SLUCM
SWup,detailed,2.95211,0.221401,1.02747,0.996466,0.558944,4.3838,4.17757,0.0895372,0.221401,0.0274748,0.00353394,0.0494966,0.0878534,0.0654933,AU-Preston,NOAH-SLUCM
LWup,baseline,20.7682,20.3769,1.36068,0.982373,2.34091,54.9328,27.0133,0.421973,20.3769,0.360682,0.0176267,0.0147879,0.0823075,0.154555,AU-Preston,NOAH-SLUCM
LWup,detailed,23.2443,22.7847,1.44775,0.977789,2.26138,67.9713,31.4139,0.514577,22.7847,0.447746,0.0222112,0.0632061,0.00639962,0.153144,AU-Preston,NOAH-SLUCM
Qle,baseline,23.7227,-15.4741,0.446286,0.642623,8.58163,65.2122,41.5995,0.790939,15.4741,0.553714,0.357377,0.018834,0.380682,0.253869,AU-Preston,NOAH-SLUCM
Qle,detailed,23.7308,-15.4522,0.44755,0.641406,8.58163,65.2122,41.6084,0.791314,15.4522,0.55245,0.358594,0.028381,0.354721,0.258286,AU-Preston,NOAH-SLUCM
Qh,baseline,18.4149,0.527156,1.10266,0.955787,0.0472527,31.0101,30.1703,0.328699,0.527156,0.102661,0.044213,0.0537145,0.0112039,0.178043,AU-Preston,NOAH-SLUCM
Qh,detailed,19.4649,2.58666,1.15104,0.957079,1.69505,43.3654,32.1093,0.34874,2.58666,0.151036,0.0429214,0.0313653,0.0477625,0.181654,AU-Preston,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,AU-Preston,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,AU-Preston,NOAH-SLUCM
SWup,baseline,5.59566,4.55576,1.13317,0.993776,0.462628,17.7315,8.27788,0.17844,4.55576,0.133175,0.00622379,0.118226,1.75774,0.102411,AU-SurreyHills,NOAH-SLUCM
SWup,detailed,3.27681,0.588953,1.03912,0.99356,0.534735,5.97633,4.76668,0.122123,0.588953,0.0391178,0.00644002,0.123925,1.82248,0.0947993,AU-SurreyHills,NOAH-SLUCM
LWup,baseline,19.091,19.0211,1.28885,0.980146,5.96671,42.3684,22.5957,0.366895,19.0211,0.288847,0.0198543,0.0265576,0.0324262,0.240557,AU-SurreyHills,NOAH-SLUCM
LWup,detailed,20.6929,20.6242,1.34834,0.977069,6.1236,49.1769,25.0559,0.427998,20.6242,0.348343,0.022931,0.021031,0.0567233,0.246475,AU-SurreyHills,NOAH-SLUCM
Qle,baseline,17.9298,-10.2877,0.587216,0.563982,1.33883,34.8924,30.0282,0.826114,10.2877,0.412785,0.436018,0.222019,0.715687,0.239731,AU-SurreyHills,NOAH-SLUCM
Qle,detailed,17.9304,-10.2791,0.587481,0.563939,1.33883,34.8924,30.0265,0.826152,10.2791,0.412519,0.436061,0.221485,0.714477,0.239504,AU-SurreyHills,NOAH-SLUCM
Qh,baseline,21.9792,-17.5734,0.778278,0.937963,6.25496,46.3659,33.6843,0.381738,17.5734,0.221722,0.0620366,0.0534557,0.121432,0.178257,AU-SurreyHills,NOAH-SLUCM
Qh,detailed,21.5376,-17.0968,0.798415,0.939728,8.24357,43.1515,32.6801,0.369973,17.0968,0.201584,0.0602715,0.0908854,0.184136,0.178689,AU-SurreyHills,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,AU-SurreyHills,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,AU-SurreyHills,NOAH-SLUCM
SWup,baseline,16.7442,15.663,1.59839,0.976495,0.64025,49.5929,24.2268,0.658187,15.663,0.598391,0.0235055,0.0179542,0.63811,0.16908,CA-Sunset,NOAH-SLUCM
SWup,detailed,5.74783,3.10275,1.14992,0.976095,0.721201,11.072,8.40851,0.278304,3.10275,0.149921,0.0239049,0.0236386,0.670476,0.0931296,CA-Sunset,NOAH-SLUCM
LWup,baseline,17.8632,16.4172,1.35308,0.956072,0.346191,52.4622,26.3974,0.493497,16.4172,0.353077,0.043928,0.239715,0.459045,0.113823,CA-Sunset,NOAH-SLUCM
LWup,detailed,25.0774,22.8121,1.63029,0.9316,0.458862,91.3526,40.1089,0.787587,22.8121,0.630292,0.0684004,0.598146,1.47295,0.0979388,CA-Sunset,NOAH-SLUCM
Qle,baseline,22.4812,-15.8307,0.544746,0.654908,6.13092,51.3966,38.2372,0.763696,15.8307,0.455255,0.345092,0.179122,0.119115,0.307612,CA-Sunset,NOAH-SLUCM
Qle,detailed,22.4851,-15.8241,0.545132,0.654492,6.1302,51.3663,38.2444,0.763937,15.8241,0.454869,0.345508,0.179869,0.117859,0.307538,CA-Sunset,NOAH-SLUCM
Qh,baseline,24.6345,-15.3438,0.75678,0.945634,5.98449,69.115,41.8227,0.376087,15.3438,0.243223,0.0543656,0.0264547,0.174544,0.112757,CA-Sunset,NOAH-SLUCM
Qh,detailed,23.5392,-14.731,0.778311,0.94751,4.43712,64.1432,40.2168,0.361737,14.731,0.221692,0.0524904,0.0541137,0.243902,0.105387,CA-Sunset,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,CA-Sunset,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,CA-Sunset,NOAH-SLUCM
SoilTemp,baseline,1.30405,-0.512019,0.924395,0.966497,0.184082,1.55994,1.80331,0.260106,0.512019,0.075599,0.0335026,0.922926,0.0823069,0.0635502,CA-Sunset,NOAH-SLUCM
SoilTemp,detailed,1.30405,-0.512019,0.924395,0.966497,0.184082,1.55994,1.80331,0.260106,0.512019,0.075599,0.0335026,0.922926,0.0823069,0.0635502,CA-Sunset,NOAH-SLUCM
SWup,baseline,8.85669,5.49684,1.15068,0.976204,0.211892,18.5145,13.9452,0.278327,5.49684,0.150664,0.0237957,0.0496597,0.150138,0.12005,FI-Kumpula,NOAH-SLUCM
SWup,detailed,5.74138,-0.377057,1.04716,0.978146,0.0150959,0.784355,10.0948,0.219074,0.377057,0.0471506,0.0218538,0.0794645,0.180247,0.103897,FI-Kumpula,NOAH-SLUCM
LWup,baseline,9.50011,5.92131,1.15069,0.986395,2.80652,29.381,13.609,0.232417,5.92131,0.150687,0.0136049,1.90926,0.476393,0.0816103,FI-Kumpula,NOAH-SLUCM
LWup,detailed,12.4564,9.32164,1.22035,0.977053,1.21219,45.0834,19.43,0.32336,9.32164,0.220347,0.0229473,3.25869,1.00455,0.0907444,FI-Kumpula,NOAH-SLUCM
Qle,baseline,14.4355,-9.19282,0.634457,0.780002,3.54455,37.3984,25.9921,0.642479,9.19282,0.365542,0.219998,0.116715,0.137567,0.213121,FI-Kumpula,NOAH-SLUCM
Qle,detailed,14.4349,-9.1831,0.634846,0.779751,3.54455,37.1649,25.9943,0.64264,9.1831,0.365153,0.220249,0.117848,0.142219,0.21364,FI-Kumpula,NOAH-SLUCM
Qh,baseline,26.2324,-17.5943,0.739917,0.792688,2.95702,57.089,40.2107,0.611908,17.5943,0.260084,0.207312,0.150718,0.309726,0.247917,FI-Kumpula,NOAH-SLUCM
Qh,detailed,26.2152,-18.1033,0.744664,0.801181,5.23347,56.663,39.8652,0.601085,18.1033,0.255336,0.198819,0.0929691,0.206363,0.24092,FI-Kumpula,NOAH-SLUCM
SWup,baseline,18.8719,18.2876,1.58292,0.954378,2.65708,48.5497,26.4106,0.695865,18.2876,0.582922,0.045622,0.404071,0.37783,0.219433,FI-Torni,NOAH-SLUCM
SWup,detailed,6.32242,1.47955,1.08345,0.921842,1.71176,4.0098,11.5931,0.419909,1.47955,0.083446,0.0781585,0.86585,1.26918,0.123159,FI-Torni,NOAH-SLUCM
LWup,baseline,13.5031,9.51016,1.30606,0.979055,6.12244,49.783,21.1307,0.385205,9.51016,0.306056,0.0209453,1.26866,1.11095,0.0948565,FI-Torni,NOAH-SLUCM
LWup,detailed,16.0964,14.3675,1.32866,0.980792,2.40225,55.7492,24.2508,0.39882,14.3675,0.328654,0.0192083,1.22109,0.883644,0.0987805,FI-Torni,NOAH-SLUCM
Qle,baseline,17.3896,-12.4552,0.487603,0.551257,4.78712,34.4534,29.2494,0.83676,12.4552,0.512397,0.448743,0.389776,1.64725,0.45777,FI-Torni,NOAH-SLUCM
Qle,detailed,17.3919,-12.436,0.48432,0.552404,4.79174,34.4534,29.2296,0.836352,12.436,0.51568,0.447596,0.29271,1.19733,0.478556,FI-Torni,NOAH-SLUCM
Qh,baseline,45.6527,-38.8068,0.844079,0.775545,12.6693,43.7134,59.3181,0.635002,38.8068,0.155922,0.224455,0.265336,0.231905,0.507435,FI-Torni,NOAH-SLUCM
Qh,detailed,45.5078,-36.8038,0.843418,0.751632,16.7374,44.2778,59.7334,0.665939,36.8038,0.156583,0.248368,0.17274,0.0881813,0.424202,FI-Torni,NOAH-SLUCM
SWup,baseline,10.6457,8.75084,1.33624,0.990152,2.61868,32.9765,15.2535,0.373333,8.75084,0.336244,0.00984771,0.125572,0.219582,0.169137,FR-Capitole,NOAH-SLUCM
SWup,detailed,6.34557,-6.23701,0.928654,0.990045,2.74468,9.29643,8.08128,0.153556,6.23701,0.0713453,0.00995487,0.120265,0.211737,0.156586,FR-Capitole,NOAH-SLUCM
LWup,baseline,17.907,14.3063,1.3305,0.986045,7.40762,53.7576,24.6982,0.382573,14.3063,0.330497,0.0139548,0.125817,1.09418,0.10855,FR-Capitole,NOAH-SLUCM
LWup,detailed,17.2701,14.995,1.2712,0.989743,4.19366,46.0174,22.3777,0.315642,14.995,0.271202,0.0102574,0.0139564,0.177749,0.115807,FR-Capitole,NOAH-SLUCM
Qle,baseline,16.895,-14.2215,0.371214,0.471791,4.91462,35.372,23.1954,0.887428,14.2215,0.628786,0.528209,2.77199,22.2466,0.613186,FR-Capitole,NOAH-SLUCM
Qle,detailed,16.8981,-14.2176,0.374525,0.468115,4.91462,35.372,23.2123,0.88861,14.2176,0.625475,0.531885,3.21892,28.3486,0.613186,FR-Capitole,NOAH-SLUCM
Qh,baseline,41.407,-38.5958,0.953227,0.898814,19.0774,32.892,52.9871,0.441695,38.5958,0.0467736,0.101186,0.179168,0.226966,0.464334,FR-Capitole,NOAH-SLUCM
Qh,detailed,38.0504,-31.3786,1.05915,0.899532,19.0519,3.21103,49.4572,0.465103,31.3786,0.0591525,0.100468,0.172258,0.201591,0.429312,FR-Capitole,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,FR-Capitole,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,FR-Capitole,NOAH-SLUCM
SWup,baseline,16.3643,-16.3518,0.885457,0.993331,2.97379,27.5699,19.0068,0.157896,16.3518,0.114544,0.00666942,0.18038,0.0678032,0.109416,GR-HECKOR,NOAH-SLUCM
SWup,detailed,13.5361,-13.5064,0.920919,0.993327,2.91952,21.0765,15.8824,0.136179,13.5064,0.0790817,0.00667311,0.181511,0.0675903,0.107056,GR-HECKOR,NOAH-SLUCM
LWup,baseline,39.4583,39.389,1.69976,0.937335,13.1714,112.219,53.7597,0.838271,39.389,0.699757,0.0626652,1.07567,0.730046,0.142512,GR-HECKOR,NOAH-SLUCM
LWup,detailed,38.4139,37.8445,1.7469,0.927076,10.4044,115.764,54.5917,0.901466,37.8445,0.746896,0.0729239,1.14038,0.754293,0.124114,GR-HECKOR,NOAH-SLUCM
Qle,baseline,26.0339,-22.2456,0.44289,0.139338,3.30427,74.7506,42.9031,1.03573,22.2456,0.55711,0.860662,7.92132,45.0629,0.592572,GR-HECKOR,NOAH-SLUCM
Qle,detailed,26.2152,-22.0615,0.697147,0.0906112,3.30427,74.7268,46.8242,1.16605,22.0615,0.302853,0.909389,17.8618,214.241,0.592641,GR-HECKOR,NOAH-SLUCM
Qh,baseline,26.7936,1.50027,1.15793,0.94752,2.3424,50.6103,40.5436,0.382722,1.50027,0.157926,0.0524799,0.00814036,0.49003,0.229654,GR-HECKOR,NOAH-SLUCM
Qh,detailed,29.6837,1.96266,1.19954,0.944831,4.82756,59.6402,43.97,0.414936,1.96266,0.199543,0.055169,0.0144912,0.531988,0.283535,GR-HECKOR,NOAH-SLUCM
Qtau,baseline,,,,,,,,,,,,,,,GR-HECKOR,NOAH-SLUCM
Qtau,detailed,,,,,,,,,,,,,,,GR-HECKOR,NOAH-SLUCM
SWup,baseline,11.6078,9.93319,1.32462,0.966551,0.965878,35.5604,17.7196,0.440443,9.93319,0.324614,0.0334495,0.202505,0.290086,0.143866,JP-Yoyogi,NOAH-SLUCM
SWup,detailed,8.42021,-7.21023,0.877666,0.9671,1.44116,11.0547,11.5195,0.269659,7.21023,0.122335,0.0328999,0.198473,0.281451,0.106563,JP-Yoyogi,NOAH-SLUCM
LWup,baseline,28.9916,28.2997,1.44557,0.950125,1.06598,87.5254,40.9907,0.585432,28.2997,0.445572,0.0498746,2.11491,1.66006,0.129792,JP-Yoyogi,NOAH-SLUCM
LWup,detailed,33.7073,33.6871,1.39477,0.963165,10.0262,85.363,42.4066,0.508525,33.6871,0.394772,0.0368347,1.85685,1.40965,0.160906,JP-Yoyogi,NOAH-SLUCM
Qle,baseline,27.9489,-26.7372,0.240218,0.614754,0.373481,84.6064,42.7111,0.873129,26.7372,0.759782,0.385246,1.64512,14.6877,0.586161,JP-Yoyogi,NOAH-SLUCM
Qle,detailed,27.9442,-26.7311,0.23849,0.61923,0.373481,84.5784,42.693,0.87265,26.7311,0.76151,0.38077,1.36224,11.2272,0.583986,JP-Yoyogi,NOAH-SLUCM
Qh,baseline,22.3974,-1.48645,1.13086,0.894708,1.02591,23.3253,33.402,0.505237,1.48645,0.130858,0.105292,0.104178,0.0864849,0.162746,JP-Yoyogi,NOAH-SLUCM
Qh,detailed,20.8298,1.00124,1.05553,0.894954,3.28309,13.9674,31.3333,0.474175,1.00124,0.0555252,0.105046,0.0776207,0.0715587,0.0674335,JP-Yoyogi,NOAH-SLUCM
SWup,baseline,17.8517,17.7636,1.23474,0.982416,7.77663,33.5754,20.535,0.313888,17.7636,0.23474,0.0175836,0.0483348,0.0157835,0.171794,KR-Jungnang,NOAH-SLUCM
SWup,detailed,8.52906,-6.28004,0.77196,0.982263,3.87725,18.1889,11.1787,0.281757,6.28004,0.228041,0.0177371,0.0416827,0.0204519,0.149612,KR-Jungnang,NOAH-SLUCM
LWup,baseline,26.2286,25.5342,1.30983,0.98187,0.186432,77.2962,36.2081,0.378801,25.5342,0.30983,0.0181302,1.20753,0.68254,0.108932,KR-Jungnang,NOAH-SLUCM
LWup,detailed,27.0225,26.7166,1.28477,0.98548,2.65106,73.5773,35.4626,0.344099,26.7166,0.28477,0.0145198,1.0102,0.561046,0.114681,KR-Jungnang,NOAH-SLUCM
