wrf_day,wrf-ctsm_day,modis_day,viirs_day,wrf_night,wrf-ctsm_night,modis_night,viirs_night,lat,lon,index_lat,index_lon,dist_km
46.84974670410156,45.17523193359375,nan,38.57000000000005,19.360366821289062,22.095611572265625,nan,18.610000000000014,53.27471160888672,-2.582366943359375,0,11,-32.18094585384295
46.49617004394531,45.21812438964844,nan,36.610000000000014,18.985855102539062,21.754867553710938,nan,17.27000000000004,53.28548812866211,-2.5643310546875,1,12,-30.485749266854807
46.73658752441406,45.200592041015625,nan,37.57000000000005,18.474212646484375,21.993240356445312,nan,17.53000000000003,53.2962760925293,-2.546295166015625,2,13,-28.78986239273118
45.690277099609375,45.04722595214844,nan,37.01000000000005,18.502365112304688,21.027633666992188,nan,18.750000000000057,53.30706024169922,-2.52825927734375,3,14,-27.094489484001677
47.169677734375,44.576263427734375,nan,40.27000000000004,17.389724731445312,19.727569580078125,nan,19.470000000000027,53.31784439086914,-2.510223388671875,4,15,-25.39932956107863
45.32206726074219,44.413238525390625,nan,38.73000000000002,17.891586303710938,19.23046875,nan,19.110000000000014,53.328636169433594,-2.4921875,5,16,-23.703780726958176
44.62257385253906,44.519775390625,nan,39.690000000000055,18.584548950195312,19.764358520507812,nan,19.430000000000007,53.33942413330078,-2.47418212890625,6,17,-22.01017385522641
44.31622314453125,44.75724792480469,nan,41.410000000000025,18.845748901367188,20.458953857421875,nan,19.750000000000057,53.35020446777344,-2.456146240234375,7,18,-20.3159539485824
44.252960205078125,44.824981689453125,36.93000000000001,41.210000000000036,18.989456176757812,20.81494140625,nan,20.090000000000032,53.360992431640625,-2.4381103515625,8,19,-18.62134542531202
44.52442932128906,44.87843322753906,39.150000000000034,43.13000000000005,18.791336059570312,19.862030029296875,nan,17.29000000000002,53.37177276611328,-2.420074462890625,9,20,-16.927552035744544
45.26557922363281,45.01091003417969,38.370000000000005,39.610000000000014,18.073196411132812,19.929855346679688,nan,20.090000000000032,53.38256072998047,-2.40203857421875,10,21,-15.23337021214151
45.1407470703125,44.912872314453125,40.190000000000055,41.89000000000004,17.935928344726562,20.563430786132812,nan,21.49000000000001,53.393348693847656,-2.384002685546875,11,22,-13.539401851717466
45.98042297363281,45.10845947265625,41.31,42.85000000000002,25.988937377929688,20.7178955078125,nan,21.850000000000023,53.40412902832031,-2.365997314453125,12,23,-11.847674862935277
46.0986328125,46.531890869140625,44.190000000000055,45.27000000000004,26.150070190429688,22.169021606445312,nan,21.170000000000016,53.4149169921875,-2.34796142578125,13,24,-10.154133304169935
46.10003662109375,46.802520751953125,42.89000000000004,45.25000000000006,26.313369750976562,22.337677001953125,nan,19.430000000000007,53.42570495605469,-2.329925537109375,14,25,-8.460805398330457
46.22247314453125,45.542999267578125,41.110000000000014,39.650000000000034,26.381790161132812,22.304000854492188,nan,,53.43648910522461,-2.3118896484375,15,26,-6.767991999016663
43.23687744140625,45.36112976074219,44.51000000000005,46.27000000000004,18.922470092773438,22.158935546875,nan,21.430000000000007,53.44727325439453,-2.29388427734375,16,27,-5.07681748379573
46.39939880371094,45.58378601074219,45.450000000000045,44.110000000000014,26.6719970703125,22.30230712890625,nan,,53.45806121826172,-2.275848388671875,17,28,-3.3841306252620815
46.433563232421875,46.02021789550781,44.73000000000002,41.51000000000005,26.926864624023438,23.029129028320312,21.430000000000007,,53.46884536743164,-2.2578125,18,29,-1.691958346169839
46.24395751953125,45.827667236328125,44.75000000000006,40.83000000000004,27.096237182617188,23.081939697265625,21.950000000000045,,53.47962951660156,-2.239776611328125,19,30,0.0
46.19993591308594,45.732147216796875,44.110000000000014,41.610000000000014,27.145065307617188,22.989852905273438,21.310000000000002,,53.49040985107422,-2.221771240234375,20,31,1.690019791873142
46.058624267578125,45.59620666503906,42.870000000000005,41.650000000000034,27.105392456054688,22.664215087890625,nan,19.370000000000005,53.501197814941406,-2.2037353515625,21,32,3.381850903269498
45.7745361328125,45.361053466796875,41.870000000000005,42.110000000000014,27.008804321289062,22.313186645507812,nan,,53.511985778808594,-2.185699462890625,22,33,5.0734679218665155
42.14720153808594,44.97157287597656,37.950000000000045,42.55000000000001,19.106979370117188,22.388595581054688,nan,23.170000000000016,53.522769927978516,-2.167694091796875,23,34,6.763147103285594
45.03123474121094,44.26457214355469,38.03000000000003,40.75000000000006,26.939590454101562,22.392807006835938,nan,23.510000000000048,53.53355026245117,-2.149658203125,24,35,8.453734551490502
41.046661376953125,43.01802062988281,40.81,41.59000000000003,19.449935913085938,22.090011596679688,nan,26.03000000000003,53.544334411621094,-2.13165283203125,25,36,10.14298598359792
44.398712158203125,42.39448547363281,40.670000000000016,38.75000000000006,26.54302978515625,21.510513305664062,21.03000000000003,25.010000000000048,53.55512237548828,-2.113616943359375,26,37,11.833746331242613
44.11027526855469,44.56695556640625,40.27000000000004,39.110000000000014,26.11810302734375,21.636337280273438,20.730000000000018,19.650000000000034,53.5659065246582,-2.0955810546875,27,38,13.523991611384941
38.13496398925781,43.00921630859375,39.210000000000036,39.51000000000005,18.733566284179688,21.98211669921875,nan,23.630000000000052,53.57669448852539,-2.07757568359375,28,39,15.212901375095097
39.29866027832031,42.68263244628906,35.370000000000005,33.690000000000055,19.710586547851562,19.831695556640625,nan,21.130000000000052,53.58747482299805,-2.059539794921875,29,40,16.902417248969186
38.90138244628906,42.63092041015625,35.07000000000005,34.870000000000005,17.54620361328125,16.428878784179688,nan,17.210000000000036,53.5982551574707,-2.041534423828125,30,41,18.590297485764214
